Roles,Companies,Locations,Experience,Salaries,Skills
Data Scientist,Capgemini,Bengaluru,4-7 Yrs,Not Disclosed Yet,"Python, Natural Language Processing, Machine Learning, Deep Learning, Data Science, Gsm, Rf Engineering, Data Analysis"
"Distinguished, Data Scientist",Walmart,Bengaluru,15-20 Yrs,Not Disclosed Yet,"Deep Learning, C++, Networking, Data Science, Machine Learning, Sez, Big Data, Information Technology"
Lead - Genai Data Scientist,Mondelez,Hybrid - Mumbai (All Areas)(Lower Parel),12-20 Yrs,70-90 Lacs Pa,"Prompt Engineering, Fine Tuning, Mlops, Nlp, Agentic Framework, Natural Language Processing, Llm, Machine Learning"
Data Scientists With Ai And Generative Model Experience,Genpact,"Hybrid - Kolkata, Hyderabad, Bengaluru",3-6 Yrs,Not Disclosed Yet,"Ai/Ml, Data Scientist, Generative Ai Models, Python, Sql, Azure, Gcp, Aws"
Data Scientist : Ai/Ml (Azure),Innovator Web,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",3-5 Yrs,5-15 Lacs Pa,"Aiml, Azure Machine Learning, Ml Pipelines, Tensorflow, Pytorch, Aci, Aks, Devops"
Inviting Applications For The Role Of Full Stack Data Scientist,Genpact,"Hybrid - Kolkata, Hyderabad, Bengaluru",10-15 Yrs,Not Disclosed Yet,"Ai/Ml, Model Architecture, Generative Ai Applications, Azure Devops, Python, Ci/Cd Pipelines, Llms, Rest Apis"
Data Scientist,Alstom Transportation,Bengaluru,5-9 Yrs,Not Disclosed Yet,"Microsoft Azure, Machine Learning, Deep Learning, Tensorflow, Pytorch, Python, Natural Language Processing, Scikit-Learn"
"Data Scientist, Ad Fraud Detection, Traffic Quality Ml",Amazon,Bengaluru,3-8 Yrs,Not Disclosed Yet,"Data Analysis, Statistical Modeling, Prototype, Sas, Machine Learning, Data Processing, Data Visualization, Matlab"
Data Scientist,Alstom Transportation,Bengaluru,7-10 Yrs,Not Disclosed Yet,"Microsoft Azure, Machine Learning, Deep Learning, Tensorflow, Pytorch, Python, Natural Language Processing, Scikit-Learn"
Data Scientist,Alstom Transportation,Bengaluru,5-9 Yrs,Not Disclosed Yet,"Python, Software Testing, Linux Internals, Artificial Intelligence, Machine Learning Algorithms, Natural Language Processing, Video Analytics, Sql"
Data Scientist - Dataiku - Immediate Joiners Only,Wipro,"Chennai, Coimbatore, Bengaluru",5-10 Yrs,Not Disclosed Yet,"Python, Dataiku, Informatica, Etl, Data"
Urgent Hiring For Fullstack-Data Scientist-Immediate Joiners-Gurgaon,Genpact,"Hybrid - Gurugram, Bengaluru",7-12 Yrs,Not Disclosed Yet,"Natural Language Processing, Machine Learning Algorithms, Object Oriented Programming, Large Language Models, Python, Oops Programming, Ml Algorithms, Deep Learning"
Data Scientist,Continental Automotive India,Bengaluru,3-7 Yrs,Not Disclosed Yet,"Computer Science, Data Analysis, Usage, Networking, Data Science, Machine Learning, Data Quality, Data Mining"
Data Scientist-Machine Learning,Infosys,Bengaluru,7-9 Yrs,Not Disclosed Yet,"Python, Spss, Sql, R, Analysis Tools, Data Analytics, Sas, Forecasting"
Data Scientist-Artificial Intelligence,Ibm,Bengaluru,3-5 Yrs,Not Disclosed Yet,"Python, Machine Learning, Tensorflow, Pytorch, Keras, Kubernetes, Github, Natural Language Processing"
Data Scientist - Generative Ai,Philips,Bengaluru,3-8 Yrs,Not Disclosed Yet,"Computer Vision, Deep Learning, Machine Learning, Healthcare, Natural Language Processing, Research, Open Source, Sql"
Data Scientist (Generative Ai),Philips,Bengaluru,10-15 Yrs,Not Disclosed Yet,"Computer Vision, Deep Learning, Diversity And Inclusion, Machine Learning, Healthcare, Natural Language Processing, Research, Open Source"
Data Scientist Artificial Telligence,Ibm,Bengaluru,5-7 Yrs,Not Disclosed Yet,"Algorithms, Python, Data Analytics, Tableau, Ml, Hive, Data Analysis, Natural Language Processing"
Data Scientist- Artificial Intelligence,Ibm,Bengaluru,7-9 Yrs,Not Disclosed Yet,"Artificial Intelligence, Matplotlib, Azure, Gcp, Pandas, Scikit Learn, Aws, Kubernetes"
Data Scientist-Artificial Intelligence,Ibm,Bengaluru,4-8 Yrs,Not Disclosed Yet,"Artificial Intelligence, Java, Azure, Nlp, Gcp, Cobol, Aws, Intelligence"
"Data Scientist, Amazon Payments (Level 5), Amazon",Amazon,Bengaluru,5-10 Yrs,Not Disclosed Yet,"Computer Science, Data Analysis, Operations Research, Sas, Project Management, Machine Learning, Predictive Modeling, Matlab"
Data Scientist,Merkle B2B,Bengaluru,8-13 Yrs,Not Disclosed Yet,"Cloud Computing, Version Control, Machine Learning, Cloud, Data Processing, Natural Language Processing, Project Delivery, Forecasting"
Data Scientist,Ericsson,Bengaluru,4-6 Yrs,Not Disclosed Yet,"Wireless, Computer Science, Networking, Linux, Wan, Machine Learning, Predictive Modeling, Analytics"
Data Scientist Iii,Meesho,Bengaluru,4-7 Yrs,Not Disclosed Yet,"Sql, R, Hadoop, Neural Networks, Big Data, Machine Learning Algorithms, Machine Learning, Linear Algebra"
Data Scientist,Apple,Bengaluru,7-9 Yrs,Not Disclosed Yet,"Computer Science, Data Science, Data Modeling, Gcp, Machine Learning, Information Retrieval, Big Data, Aws"
Data Scientist,Infosys,Bengaluru,9-11 Yrs,Not Disclosed Yet,"Business Acumen, Data Science, Model Development, Machine Learning Algorithms, Statistics, Snowflake, Continuous Integration, Python"
Data Scientist,Juniper Networks,Bengaluru,4-8 Yrs,Not Disclosed Yet,"Snowflake, Ai Solutions, Presentation Skills, Relational Sql, Artificial Intelligence, Ml, Data, Presentation"
Data Scientist,Merkle Science,Bengaluru,8-13 Yrs,Not Disclosed Yet,"Cloud Computing, Version Control, Machine Learning, Cloud, Data Processing, Natural Language Processing, Project Delivery, Forecasting"
Data Scientist,Ssms,Bengaluru,2-7 Yrs,Not Disclosed Yet,"Statistical Analysis, Data Mining, Analysis, Data, Statistics"
"Data Scientist Iii, Ies Shopping Intelligence",Amazon,Bengaluru,8-13 Yrs,Not Disclosed Yet,"Computer Science, Operations Research, Sas, Data Modeling, Machine Learning, Data Mining, Matlab, Forecasting"
Data Scientist,Capgemini,Bengaluru,4-7 Yrs,Not Disclosed Yet,"Python, Software Development, Software Design, Javascript, Java, C++, Project Management, C"
Data Scientist,Kotak Life Insurance,Bengaluru,3-5 Yrs,Not Disclosed Yet,"Software Development, Presentation Skills, Data Engineering, Aws Technologies, Data Governance, Advance Sql, Python, Team Management"
Data Scientist Gen Ai,Rk Hr Management,Ahmedabad,4-8 Yrs,9.5-15 Lacs Pa,"Generative Ai, Data Science, Rag, Diffusion Models, Data Preprocessing, Llm, Open Ai, Mlops"
Data Scientist,Accolite Software India Pvt Ltd,"Hyderabad, Bengaluru",3-7 Yrs,Not Disclosed Yet,"Machine Learning, Business Rules, Data Analytics, Data Visualization, Research, Sql, Python, Machine"
"Data Scientist -Azure - Dlf Cyber City, Gurgoan",Teamplus Staffing Solution,Gurugram(Dlf City),3-8 Yrs,10-20 Lacs Pa,"Data Science, Data Scientist, Azure, Azure Devops, Azure Iot Hub, Microsoft Azure, Data, Science"
Data Scientist,Ibm,Bengaluru,3-5 Yrs,Not Disclosed Yet,"Python, Ci/Cd, Aiml, Artificial Intelligence, Ml, Continuous Integration, Kubernetes, Rest"
Data Scientist,Infosys,"Hyderabad, Chennai, Bengaluru",3-8 Yrs,Not Disclosed Yet,"Data Science, Large Language Model, Natural Language Processing, Neural Networks, Azure Data Lake, Data Modeling, Rest Api, Etl"
Data Scientist/Analyst,Trovasemi,Bengaluru,3-8 Yrs,Not Disclosed Yet,"Ms Sql, Demand Planning, Simulation, Oracle Sql, Machine Learning, Microsoft Azure, Regression Analysis, Forecasting"
Data Scientist 3-Digital Banking Kotak -Regional Sales,Kotak Life Insurance,Bengaluru,7-10 Yrs,Not Disclosed Yet,"Python, Natural Language Processing, Pyspark, Machine Learning, Sql, Eda, Scala, Data Mining"
Data Scientist & Analyst,Itday India,Bengaluru,5-7 Yrs,Not Disclosed Yet,"Computer Science, C++, Data Analysis, Simulation, Coding, Mysql, Machine Learning, Javascript"
Data Scientist 3- Regional Sales,Kotak Life Insurance,Bengaluru,7-10 Yrs,Not Disclosed Yet,"Regional Sales, Python, Sql. Pyspark Languages, Eda, Pyspark, Statistical Inference, Machine Learning, Python"
Data Scientist 3- Regional Sales,Kotak Life Insurance,Bengaluru,7-10 Yrs,Not Disclosed Yet,"Data Science, Python, Eda, Pyspark, Statistical Inference, Regional Sales, Machine Learning, Sql"
Data Scientist,Leading Client,"Hyderabad, Gurugram, Bengaluru",2-7 Yrs,Not Disclosed Yet,"Python, Pyspark, Sql, Tensorflow, Data Science, Natural Language Processing, Scikit-Learn, Microsoft Azure"
Data Scientist,S&P Global Market Intelligence,Bengaluru,3-6 Yrs,Not Disclosed Yet,"Cloud Services, Python, Machine Learning, Aws Cloud, Machine Learning Algorithms, Algorithms, Data Analysis, Data Processing"
Data Scientist,Global Banking Organization,Hybrid - Bengaluru,3-5 Yrs,Not Disclosed Yet,"Data Science, Nlp, Machine Learning, Sql, Python, Ai Artificial Intelligence, Deep Learning., Artificial Intelligence"
Data Scientist 3 - Digital Banking - Regional Sales,Kotak Life Insurance,Bengaluru,7-10 Yrs,Not Disclosed Yet,"Data Science, Java, Theano, Python, Nosql, Natural Language Processing, Pyspark, Machine Learning"
Data Scientist 3 - Digital Banking - Regional Sales,Kotak Life Insurance,Bengaluru,7-10 Yrs,Not Disclosed Yet,"Data Science, Python, Natural Language Processing, Spark, Data Mining, Machine Learning, Relational Databases, Sql"
Data Scientist 3 - Digital Banking - Regional Sales,Kotak Life Insurance,Bengaluru,7-10 Yrs,Not Disclosed Yet,"Data Science, Nosql, Neo4J, Pyspark, Spark Sql, Mlops Tools, Ci/Cd Deployment, Graphdbs"
Forecasting Analyst / Data Scientist,Locus It Services,Bengaluru,2-7 Yrs,Not Disclosed Yet,"Bpo, Analyst, Statistical Modeling, Process Documentation, Analytical, Trend Analysis, Budgeting, Forecasting"
Data Scientist,Photon,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-12 Yrs,Not Disclosed Yet,"Automation, Orchestration, Coding, Analytical, Machine Learning, Scala, Infrastructure, Mentor"
Data Scientist- Ml,Optum,"Hybrid - Noida, Gurugram",3-6 Yrs,Not Disclosed Yet,"Snowflake, Ml Algorithms, Python, Algorithms, Data, Ml"
Sr Data Scientist - Advanced Machine Learning,Target,Bengaluru,3-4 Yrs,Not Disclosed Yet,"Supply Chain, Product Engineering, Data Analysis, Analytical, Machine Learning, Data Structures, Troubleshooting, Sql"
Data Scientist,Michelin,Pune,5-10 Yrs,Not Disclosed Yet,"Data Analysis, Machine Learning, Deployment, Testing, Machine, Analysis, Software Testing, Data"
Data Scientist,Capgemini,Tiruchirapalli,4-7 Yrs,Not Disclosed Yet,"Python, Natural Language Processing, Machine Learning, Deep Learning, Data Science, Gsm, Rf Engineering, Data Analysis"
"Immediate Hiring || Data Scientist || Noida, Chennai",Hcltech,"Noida, Chennai",4-9 Yrs,Not Disclosed Yet,"Data Science, Data Visualization, Machine Learning, Python, Sql, Algorithms, Power Bi, Statistical Modeling"
Data Scientist,Michelin,Pune,3-7 Yrs,Not Disclosed Yet,"Data Analysis, Machine Learning, Deployment, Testing, Data, Analysis, Software Testing, Machine"
Data Scientist / Engineer,Cyquent,"Mumbai, Delhi / Ncr, Bengaluru",2-5 Yrs,Not Disclosed Yet,"Data Scientist, Python, Hive, Data Analysis, Scala, Amazon Redshift, Airflow, Microsoft Azure"
Data Scientist,Pwc India,Mumbai (All Areas),7-11 Yrs,Not Disclosed Yet,"Data Science, Aiml, Python, Pytorch, Pyspark, Genrative Ai, Slm, Artificial Intelligence"
Data Scientist / Machine Learning Engineer Gen Ai & Llm,Databricks,Bengaluru,3-7 Yrs,Not Disclosed Yet,"Tensorflow, Scikit-Learn, Gcp, Pytorch, Microsoft Azure, Aws, Machine Learning, Microsoft"
Data Scientist,Genpact,Kolkata,1-6 Yrs,Not Disclosed Yet,"Data Science, Economics, Statistical Modeling, Statistics, Python, Power Bi, Tableau, Bi"
Data Scientist,Tokopedia,Bengaluru,1-2 Yrs,Not Disclosed Yet,"Computer Science, Operations Research, Prototype, Version Control, Formulation, Machine Learning, Data Processing, Sql"
Data Scientist,Gojek,Bengaluru,1-2 Yrs,Not Disclosed Yet,"Operations Research, Prototype, Version Control, Machine Learning, Data Processing, Sql, Python, Technical Documentation"
Data Scientist,Dtc Infotech,Mumbai,2-4 Yrs,Not Disclosed Yet,"Python, It Systems Administration, Data Analysis, Data Management, Modeling, Spotfire, Analytics Tool, Visual Analytics"
Mlops Engineer / Data Scientist,Ceva Logistics,Mumbai,3-7 Yrs,Not Disclosed Yet,"Model Monitoring, Snowflake, Python, Predictive Modeling, Cloud Platforms, Machine Learning Algorithms, Sql, Communication Skills"
Data Scientist - Insurance Domain,Amit Gaikwad,Hybrid - Bengaluru,5-10 Yrs,20-30 Lacs Pa,"Algorithm Development, Eda, Scikit-Learn, Azure Devops, Python, Logistic Regression, Artificial Intelligence, Insurance Domain"
"Data Scientist Iii, Row Aop",Amazon,Hyderabad,5-10 Yrs,Not Disclosed Yet,"Computer Science, Publishing, Sas, Analytical, Machine Learning, Business Intelligence, Matlab, Distribution System"
"Data Scientist Iii, Row Aop",Amazon,Hyderabad,5-10 Yrs,Not Disclosed Yet,"Publishing, Sas, Analytical, Machine Learning, Business Intelligence, Matlab, Distribution System, Sql"
Data Scientist,Datamatics Business Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-9 Yrs,Not Disclosed Yet,"Computer Science, Backend, Version Control, Machine Learning, Data Quality, Business Solutions, Monitoring, Sql"
Gn Sc&O - S&P Ã¢Â‚¬Â€Œdata Scientist - Specialist,Accenture,Mumbai,5-10 Yrs,Not Disclosed Yet,"Project Management, Data Analysis, Spend Analysis, Team Management, Data Science, Python, Data Management, Oracle"
Data Scientist-Artificial Intelligence,Ibm,Kolkata,3-7 Yrs,Not Disclosed Yet,"Python, Scikit-Learn, Tensorflow, Pytorch, Keras, Natural Language Processing, Neural Networks, Predictive"
"Data Scientist, Ai Division",Mahindra & Mahindra Limited.,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",5-7 Yrs,Not Disclosed Yet,"Data Modeling, Sem, Machine Learning Algorithms, Sql, Nosql Databases, Statistics, Communication Skills, Nosql Database"
Data Scientist-Artificial Intelligence,Ibm,Gurugram,5-7 Yrs,Not Disclosed Yet,"Algorithms, Python, Data Analytics, Tableau, Ml, Hive, Data Analysis, Natural Language Processing"
Data Scientist-Artificial Intelligence,Ibm,Mumbai,5-7 Yrs,Not Disclosed Yet,"Python, Natural Language Processing, Machine Learning, Deep Learning, Ml, Scikit-Learn, Neural Networks, Numpy"
Data Scientist,Merkle B2B,"Pune, Gurugram",2-5 Yrs,Not Disclosed Yet,"Deep Learning, Statistical Analysis, Data Science, Machine Learning, Stakeholder Management, Analytics, Sql, Python"
Data Scientist,Abbott,Mumbai,3-5 Yrs,Not Disclosed Yet,"Supply Chain, Computer Science, Computer Vision, Data Analysis, Pharma, Machine Learning, Debugging, Data Collection"
Data Scientist,Adhiran Infotech,Chennai,2-5 Yrs,Not Disclosed Yet,Data Scientist
Data Scientist,Sutherland,Chennai,7-12 Yrs,15-25 Lacs Pa,"Natural Language Processing, Computer Vision, Machine Learning, Deep Learning, Python, Data Science, Process, Languages"
Data Scientist,Praval Infotech,Hyderabad,8-13 Yrs,Not Disclosed Yet,"Deep Learning, Web Analytics, Machine Learning, Shell Scripting, Manager Technology, Application Software, Monitoring, Analytics"
Data Scientist,New Talent Infotech Solutions,Rewa,8-13 Yrs,Not Disclosed Yet,Data Scientist
"Data Scientist, Digital Acceleration",Amazon,Chennai,2-7 Yrs,Not Disclosed Yet,"Digital Media, Data Analysis, Sas, Data Modeling, Analytical, Machine Learning, Perl, Matlab"
Data Scientist,Capgemini,Hybrid - Chennai,15-22 Yrs,25-37.5 Lacs Pa,"Data Science, Maritime, Shipping, Marine, Data, Science"
Data Scientist - Machine Learning,Rpa Infotech,Gurugram,2-7 Yrs,Not Disclosed Yet,"Computer Science, Operations Research, Data Science, Bfsi, Network Analysis, Machine Learning, Social Networking, Natural Language Processing"
Data Scientist,Centre For Effective Governance Of Indian States (Cegis)- Clop,"Korba, Raigarh, Bhilai, Bilaspur, Raipur",4-6 Yrs,Not Disclosed Yet,"Procurement, San, Data Analysis, Nutrition, Performance Management, Analytical, Data Collection, Healthcare"
Data Scientist,Xebia Academy Global,Remote,8-10 Yrs,Not Disclosed Yet,"Mining, Text Mining, Logistic Regression, Machine Learning, Data Mining, Open Source, Continuous Improvement, Forecasting"
Data Scientist,Merkle Science,"Pune, Gurugram",2-5 Yrs,Not Disclosed Yet,"Deep Learning, Statistical Analysis, Data Science, Machine Learning, Stakeholder Management, Analytics, Sql, Python"
Data Scientist,Agiletech Info Solutions,Chennai,3-8 Yrs,Not Disclosed Yet,Data Scientist
Data Scientist,Ntt Data Business Solutions,Hyderabad,5-10 Yrs,Not Disclosed Yet,"C++, Software Design, Assurance, Data Science, Data Management, Machine Learning, Debugging, Perl"
Senior Data Scientist / Machine Learning Engineer,Arivonix Corporation,Remote,5-10 Yrs,Not Disclosed Yet,"Performance Tuning, System Architecture, Backend, Coding, Gcp, Debugging, Machine Learning, Data Structures"
Lead Gen Ai Data Scientist - Genai,Neal Analytics,"Mumbai, Pune, Chennai, Gurugram, Bengaluru",4-9 Yrs,Not Disclosed Yet,"Career Development, Gcp, Analytical, Machine Learning, Application Development, Open Source, Analytics, Sql"
Data Scientist,Ge,Bengaluru,4-7 Yrs,Not Disclosed Yet,"Data Processing, Presentation Skills, Data Cleansing, Data Quality, Machine Learning Algorithms, Semantic, Python, Sas"
Industrial Data Scientist,Exxon Mobil Corporation,Bengaluru,3-8 Yrs,Not Disclosed Yet,"Computer Vision, Version Control, Networking, Data Science, Machine Learning, Agile, Natural Language Processing, Operations"
Industrial Data Scientist,Exxon Mobil Corporation,Bengaluru,3-8 Yrs,Not Disclosed Yet,"Time Series Analysis, , Natural Language Processing, Data Science, Data Integration Tools, Programming, Statistics, Communication Skills"
Data Scientist,Latentview,Bengaluru,5-8 Yrs,Not Disclosed Yet,"Data Science, Gen Ai, Machine Learning, Sql, Ai Models, Predictive Modeling, Natural Language Processing, Deep Learning"
Data Scientists,Mirafra,Bengaluru,3-12 Yrs,Not Disclosed Yet,Data Scientists
Data Scientist (Sales And Marketing Analytics),Sobha,Bengaluru,4-8 Yrs,Not Disclosed Yet,"Data Science, Kpi Analysis, Artificial Intelligence, Machine Learning, Analysis, Data Analytics, Machine, Marketing"
Physical Data Scientist,Exxon Mobil Corporation,Bengaluru,3-9 Yrs,Not Disclosed Yet,"Matlab, Data Bricks, , Python, Modeling, Agile, Azure Cloud, Reporting"
Exp. Data Scientist / Data Analyst / Ai Expert,Innovadors Lab,Bhubaneswar,1-2 Yrs,Not Disclosed Yet,"Analytical Skills, Artificial Intelligence, Machine Learning, Data Analyst, Open Source, Python, Exp, Data Analysis"
Data Analyst / Data Scientist,Nybl,Remote,1-4 Yrs,Not Disclosed Yet,"Data Analysis, Business Objects, Google Analytics, Image Processing, Web Development, Machine Learning, Data Collection, Data Mining"
Python Data Scientist/Analyst,Turing Global India,Remote,3-5 Yrs,Not Disclosed Yet,"Data Analysis, Debugging, Programming, Data Analyst, Data Analytics, Data Visualization, Sql, Python"
Data Scientist/Data Analyst,Turing Global India,Remote,3-5 Yrs,Not Disclosed Yet,"Data Analysis, Debugging, Production, Data Analyst, Python, Data, Analysis"
Ai/Data Scientist Lead,Zzazz,Bengaluru,4-9 Yrs,Not Disclosed Yet,"Deep Learning, Team Management, Digital Content, Gcp, Machine Learning, Design Development, Natural Language Processing, Sql"
Data Analyst & Data Scientist,Varuna Integrated Logistics,Gurugram,3-8 Yrs,Not Disclosed Yet,"Computer Hardware, Costing, Coding, Analytical, Data Processing, Ms Office, Data Mining, Forecasting"
Data Scientist,Grid Dynamics,Hybrid - Bengaluru,5-10 Yrs,Not Disclosed Yet,"Generative Ai, Linux, Ml, Python, Data, Artificial Intelligence"
Python Llm Data Scientist/Analyst,Turing Global India,Remote,2-5 Yrs,Not Disclosed Yet,"Analytical Skills, Data Analysis, Data Science, Artificial Intelligence, Programming, Data Analytics, Sql, Python"
Data Scientist/Data Analyst,Turing Global India,Remote,3-5 Yrs,Not Disclosed Yet,"Data Analysis, Data Science, Time Management, Debugging, Production, Data Analyst, Data Analytics, Sql"
Data Scientist,Smiths Detection,Bengaluru,8-13 Yrs,Not Disclosed Yet,"Google Analytics, Aviation, Data Modeling, Analytical, Billing, Dns, Html, Http"
Commercial Data Scientist,Exxon Mobil Corporation,Bengaluru,4-9 Yrs,Not Disclosed Yet,", R, Tableau, Scikit-Learn, Keras, Numpy, Analysis, Communication Skills"
Commercial Data Scientist,Exxon Mobil Corporation,Bengaluru,2-7 Yrs,Not Disclosed Yet,"Networking, Neural Networks, Machine Learning, Agile, Pattern Recognition, Forecasting, Python, Logistics"
Data Scientist And Analyst,Diverse Lynx,Pune,2-6 Yrs,Not Disclosed Yet,"Data Management, Business Analytics, Machine Learning, Data Governance, Data Analyst, Data Quality, Natural Language Processing, Data Mining"
Server Virtualisation Platform Test Software Engineer,Cisco,Bengaluru,0-4 Yrs,Not Disclosed Yet,"Training, Basic, Usage, Sales, Cap, Linux, Equity, Cisco"
Software Engineer In Test Iii - Java Automation With Sql,Rocket Software,Bengaluru,5-10 Yrs,Not Disclosed Yet,"Java, Jdbc, Selenium, Java Testing, Sql, Api Testing, Database, Automation Testing"
Software Engineer Iii | Automation Testing And Networking,F5,Bengaluru,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Sr. Software Qa Engineer (Automation Testing) Javascript / Typescript,Suzva Software Technologies,"Mumbai, Delhi / Ncr, Bengaluru",5-7 Yrs,Not Disclosed Yet,"Qa, Automation Testing, Typescript, Puppeteer, Software Testing, Cypress, Javascript, Playwright"
Api/Automation Test Engineer - Software Quality Assurance,Forward Eye Technologies,Pune,6-11 Yrs,Not Disclosed Yet,"Api Testing, Regression Testing, Defect/Bug Tracking System, Software Quality Assurance, Software Testing Tools, Integration Testing, Automation Testing, Functional Testing"
Software Test Engineer,Medverve Healthcare Pvt Ltd,Bengaluru,0-1 Yrs,Not Disclosed Yet,"Manual Testing, Python, Core Java, Automation Testing, .Net, Test Scenarios, Test Plans, Test Cases"
Software Development In Test Engineer,Sentinelone,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,Not Disclosed Yet,"System Testing, Automation Testing, Provident Fund, Soft Skills Training, Wellness, Windows, Medical Insurance, Counselling"
Software Development Test Engineer,Capco,Hybrid - Bengaluru,9-14 Yrs,Not Disclosed Yet,"Java, Bdd, Automation Framework. Selenium, Automation Testing, Rest Assured, Api Automation, Software Testing, Software"
Sr.Software Test Engineer,Siemens,"India, Bengaluru",20-25 Yrs,Not Disclosed Yet,"Sap, Manual Testing, R2R, Sap Hana, Agile Methodology, Software Testing, Regression Testing, Automation Testing"
Senior Software Test Automation Engineer,Wolters Kluwer - Medknow Publications,"Kalyani, Pune",3-8 Yrs,Not Disclosed Yet,"Ms Sql, Manual Testing, Version Control, Git, Nosql, Mysql, Javascript, Business Rules"
Software Engineer Iii | Automation Testing And Networking,F5,Pune,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Automation Test Engineer - Software Quality Assurance,Forward Eye Technologies,Remote,5-10 Yrs,Not Disclosed Yet,"Software Quality Assurance, Regression Testing, Performance Testing, Software Testing Tools, Mobile Testing, Automation Testing, Appium, Functional Testing"
Software Engineer Iii | Automation Testing And Networking,F5,Gurugram,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Faridabad,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Ghaziabad,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Greater Noida,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Delhi / Ncr,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,New Delhi,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Chittoor,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Mandya,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Hassan,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Tumakuru,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Mysuru,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Mumbai,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Nashik,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Navi Mumbai,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Thane,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Noida,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Hyderabad,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
Software Engineer Iii | Automation Testing And Networking,F5,Kalyan-Dombivli,3-8 Yrs,Not Disclosed Yet,"Automation Testing, Golang, Automation Framework Development, Protocol Testing, Python Framework, Network Testing, Automation Framework, Pyats"
